код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат);Ассортимент,добавить sku:;Цена, снизить sku:;Выкладка на ХП, добавить:;Выкладка на ТП, добавить:;Оборудование, добавить:;ДМП, добавить:
2,9879E+14;Пятерочка Х5;55,14434323;61,41350716;100.270348378454;ПродуктСО533;132,4588263;0;0.2;Конвиниенс;10;;1;35;;
2,9879E+14;Магнит Назначение;55,14055994;61,43308982;139.598093652681;ПродуктСО523;139,5980937;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Змееборец;55,15240304;61,409913;75.750785327832;ПродуктСО522;107,8619653;0;0.2;Конвиниенс;;;4;;;
2,9879E+14;Магнит Подношение;55,155319;61,366307;68.2255595481148;ПродуктСО513;98,83379452;0;0.2;Конвиниенс;;;12;;;
2,9879E+14;Магнит Передерживание;55,145998;61,411546;101.543792930362;ПродуктСО523;112,8544541;0;0.111387027;Конвиниенс;;;5;;;
2,9879E+14;Пятёрочка;55,206796;61,284326;81.5161047321238;ПродуктСО513;98,83379452;0;0.2;Конвиниенс;9;;;33;1;
N295629;Пятерочка-5568;55,23429871;61,30121994;100.021242115297;ПродуктСО513;100,0212421;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Огнеполье;55,20898;61,308087;66.6523092357505;ПродуктСО423;116,5583515;0;0.2;Конвиниенс;;;1;;;
2,9879E+14;Магнит Сословие;55,2183515;61,2978312;131.841312873318;ПродуктСО523;131,8413129;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Россошанский;55,240018;61,3099775;155.271317987115;ПродуктСО522;155,271318;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Учкуприк;55,234974;61,29846;141.416135354543;ПродуктСО423;141,4161354;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Кулверсити;55,21800613;61,29005051;144.273853875387;ПродуктСО533;144,2738539;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Хорнема;55,217249;61,301044;132.404556735512;ПродуктСО543;132,4045567;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит;55,209159;61,297648;60.2320525203595;ПродуктСО423;116,5583515;0;0.2;Конвиниенс;;;1;;;
6822269;Магнит Савка;55,20846833;61,30326745;105.765137365097;ПродуктСО423;116,5583515;0;0.102048883;Конвиниенс;;;1;;;
2,9452E+14;Магнит Бейвеля;55,19141219;61,27955193;57.6158185746273;ПродуктСО543;94,56793697;0;0.2;Конвиниенс;10;10;1;35;;
2,9879E+14;Магнит Минком;55,20913369;61,29360164;36.3440919906083;ПродуктСО423;71,31159743;0;0.2;Конвиниенс;10;;29;2;;
2,9879E+14;Магнит Гумма;55,18948803;61,27654116;20.1876543867432;ПродуктСО503;35,25806773;0;0.2;Конвиниенс;1;;;;;
N*551754194;Магнит Гайтан;55,2348818;61,3030774;93.1939210866615;ПродуктСО433;120,0517368;0;0.2;Конвиниенс;;;16;;;7
N*551754264;Магнит Лайфстронг;55,17786485;61,25907931;50.8398419208592;ПродуктСО523;84,69617815;0;0.2;Конвиниенс;10;;29;;;
2,9879E+14;ТС Пятерочка;55,165678;61,531543;212.518345600145;ПродуктСО414;212,5183456;1;0;Конвиниенс;;;;;;
2,9879E+14;ТС Пятерочка;55,113364;61,458743;71.6403846531348;ПродуктСО513;98,83379452;0;0.2;Конвиниенс;;;13;7;;2
2,9879E+14;ТС Пятерочка;55,171879;61,441963;57.7758835468119;ПродуктСО414;84,52185922;0;0.2;Конвиниенс;7;;19;;;
2,9879E+14;Магнит Дакапо;55,039445;61,377823;66.3010973011826;ПродуктСО513;98,83379452;0;0.2;Конвиниенс;;;1;20;;
2,9879E+14;Пятерочка Х5;55,14778236;61,41622692;58.7944663180905;ПродуктСО513;98,83379452;0;0.2;Конвиниенс;10;;29;27;;
1911017540;Магнит Белорецкий;55,12310407;61,36724845;123.267053432676;ПродуктСО423;123,2670534;1;0;Конвиниенс;;;;;;
2,9452E+14;Магнит Камень;55,11715574;61,35495236;152.405919185576;ПродуктСО433;152,4059192;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Коммунарск;55,11353;61,346573;100.99382563093;ПродуктСО443;153,2682432;0;0.2;Конвиниенс;2;;9;16;;
2,9879E+14;Магнит;55,126452;61,365902;67.9539643376201;ПродуктСО423;116,5583515;0;0.2;Конвиниенс;;;5;;;
2,9879E+14;Магнит;55,13566;61,39349;98.0563320811381;ПродуктСО522;107,8619653;0;0.1;Конвиниенс;;;1;;;
N*551754191;Магнит Негелия;55,1144559;61,3479182;85.0616499730859;ПродуктСО433;120,0517368;0;0.2;Конвиниенс;;;22;2;;
2,9879E+14;Магнит Ерментау;55,1486488;61,3750252;42.1921966978137;ПродуктСО523;76,04853293;0;0.2;Конвиниенс;10;;7;;;
2,9879E+14;Магнит Патиала;55,143312;61,395169;62.1732150336304;ПродуктСО523;112,8544541;0;0.2;Конвиниенс;;;1;;;
2,9879E+14;Магнит Долгодеревенское;55,112206;61,363935;193.159689937189;ПродуктСО523;193,1596899;1;0;Конвиниенс;;;;;;
N*55175159;Магнит Бургац;55,121227;61,3755415;77.4030000724891;ПродуктСО433;120,0517368;0;0.2;Конвиниенс;;;25;12;;
2,9402E+14;Монетка;55,1623244;61,4419577;15.4373565423692;ПродуктСО503;30,50776988;0;0.2;Конвиниенс;8;10;;35;;
2,9452E+14;Монетка;55,11600343;61,35180362;15.6295401420847;ПродуктСО513;45,2796785;0;0.2;Конвиниенс;10;10;25;35;;
2,9452E+14;Монетка;55,24214939;61,37620972;66.1724342324956;ПродуктСО413;82,35002502;0;0.2;Конвиниенс;10;;26;35;;
2,9452E+14;Монетка;55,17938995;61,34855652;21.719532037419;ПродуктСО413;46,42453954;0;0.2;Конвиниенс;10;;25;35;;
2,9452E+14;Монетка;55,12467343;61,43456217;44.7502297207235;ПродуктСО503;50,23471114;0;0.122557615;Конвиниенс;10;;;35;;
2,9452E+14;Монетка;55,15841441;61,38094984;14.2940033875397;ПродуктСО413;38,99901089;0;0.2;Конвиниенс;10;;;35;1;
2,9452E+14;Монетка;55,17538071;61,31243515;15.7539141003616;ПродуктСО413;40,45892161;0;0.2;Конвиниенс;10;;29;35;;
2,9452E+14;Монетка;55,19228373;61,28956576;21.6881685203954;ПродуктСО413;46,39317603;0;0.2;Конвиниенс;10;;;35;1;
